Date,Time,Open,High,Low,Close,Volume,OpenInt
2019-05-09,22:00:00,124.72,125.05,124.14,124.21,7307164,0
2019-05-09,16:00:00,123,123.43,122.4,123.01,2964274,0
2019-05-09,17:00:00,123.02,123.02,122.29,122.35,3230454,0
2019-05-09,18:00:00,122.35,123.14,122.28,123.1,2890439,0
2019-05-09,19:00:00,123.03,124.49,122.76,123.66,3441009,0
2019-05-09,20:00:00,123.66,124.22,123.39,123.82,1975643,0
2019-05-09,21:00:00,123.82,124.16,123.52,123.62,1876526,0
2019-05-10,22:00:00,123.62,124.39,123.36,124.21,5613124,0
2019-05-10,16:00:00,123.62,124.7,123.62,123.99,2321863,0
2019-05-10,17:00:00,124,124.01,122.73,122.89,3640547,0
2019-05-10,18:00:00,122.89,123.27,122.53,123,3300537,0
2019-05-10,19:00:00,123,124.7,122.89,124.47,2872102,0
2019-05-10,20:00:00,124.49,125.35,124.36,125.18,2933107,0
2019-05-10,21:00:00,125.17,125.67,124.92,125.56,2218849,0
2019-05-13,22:00:00,125.57,126.61,125.48,125.81,8456353,0
2019-05-13,16:00:00,122.82,124.25,122.73,123.13,3017613,0
2019-05-13,17:00:00,123.16,123.28,122.35,122.99,4305133,0
2019-05-13,18:00:00,123,123.17,122.3,122.71,3821268,0
2019-05-13,19:00:00,122.72,122.73,122.07,122.09,2600743,0
2019-05-13,20:00:00,122.09,122.8,121.88,122.74,2512022,0
2019-05-13,21:00:00,122.74,123,122.25,122.81,3195586,0
2019-05-14,22:00:00,122.8,123.04,121.77,122.07,8581868,0
2019-05-14,16:00:00,122.58,123.3,122.41,122.64,2757821,0
2019-05-14,17:00:00,122.64,123.87,122.61,123.83,3396589,0
2019-05-14,18:00:00,123.83,124.41,123.51,124.24,3147004,0
2019-05-14,19:00:00,124.24,124.58,123.96,124.03,2171405,0
2019-05-14,20:00:00,124.03,124.4,124.01,124.22,1363614,0
2019-05-14,21:00:00,124.22,124.25,123.73,123.89,1742586,0
2019-05-15,22:00:00,123.88,124.1,123.38,123.44,6965474,0
2019-05-15,16:00:00,123.43,123.82,122.87,123.68,2182866,0
2019-05-15,17:00:00,123.68,125.09,123.66,124.81,3560960,0
2019-05-15,18:00:00,124.81,125.35,124.55,125.15,2771575,0
2019-05-15,19:00:00,125.15,125.34,124.75,124.85,1840121,0
2019-05-15,20:00:00,124.84,125.49,124.8,125.42,1646268,0
2019-05-15,21:00:00,125.41,125.86,125.39,125.45,2292274,0
2019-05-16,22:00:00,125.44,125.6,124.97,125.17,5461182,0
2019-05-16,16:00:00,125.9,127.22,125.61,127.17,3073155,0
2019-05-16,17:00:00,127.17,128.46,127.14,128.29,5227177,0
